iata,icao,name,lat,lon,iso_country
BBH,EDBH,Barth Airport,54.338253,12.710515,DE
BBJ,EDRB,Bitburg Airport,49.945278,6.565,DE
BBP,EGHJ,Bembridge Airport,50.67810059,-1.109439969,GB
BBS,EGLK,Blackbushe Airport,51.32389832,-0.847500026,GB
BBU,LRBS,B?neasa International Airport,44.50320053,26.10210037,RO
BCM,LRBC,Bac?u Airport,46.52190018,26.9102993,RO
BCN,LEBL,Barcelona International Airport,41.2971,2.07846,ES
BCX,UWUB,Beloretsk Airport,53.93809891,58.34000015,RU
BDS,LIBR,Brindisi – Salento Airport,40.6576,17.947001,IT
BDU,ENDU,Bardufoss Airport,69.05580139,18.54039955,NO
BEB,EGPL,Benbecula Airport,57.48109818,-7.362780094,GB
BEG,LYBE,Belgrade Nikola Tesla Airport,44.81840134,20.3090992,RS
BEQ,EGXH,RAF Honington,52.34260178,0.772939026,GB
BER,EDDB,Berlin Brandenburg Airport,52.351389,13.493889,DE
BES,LFRB,Brest Bretagne Airport,48.44789886,-4.418540001,FR
BEX,EGUB,RAF Benson,51.61640167,-1.095829964,GB
BFE,EDLI,Bielefeld Airport,51.964722,8.544444,DE
BFS,EGAA,Belfast International Airport,54.65750122,-6.215829849,GB
BGC,LPBG,Bragança Airport,41.8578,-6.70713,PT
BGJ,BIBF,Borgarfjörður eystri Airport,65.5164032,-13.80500031,IS
BGN,UESG,Belaya Gora Airport,68.556602,146.231506,RU
BGO,ENBR,Bergen Airport Flesland,60.29339981,5.218140125,NO
BGY,LIME,Milan Bergamo Airport,45.673901,9.70417,IT
BGZ,LPBR,Braga Municipal Aerodrome,41.58710098,-8.445139885,PT
BHD,EGAC,George Best Belfast City Airport,54.61809921,-5.872499943,GB
BHX,EGBB,Birmingham International Airport,52.45389938,-1.748029947,GB
BIA,LFKB,Bastia-Poretta Airport,42.55270004,9.483730316,FR
BIO,LEBB,Bilbao Airport,43.30110168,-2.910609961,ES
BIQ,LFBZ,Biarritz-Anglet-Bayonne Airport,43.4683333,-1.5311111,FR
BIU,BIBD,Bildudalur Airport,65.64129639,-23.5461998,IS
BJD,BIBK,Bakkafjörður Airport,66.02189636,-14.82439995,IS
BJF,ENBS,Båtsfjord Airport,70.60050201,29.69140053,NO
BJY,LYBT,Batajnica Air Base,44.935299,20.2575,RS
BJZ,LEBZ,Badajoz Airport,38.8913002,-6.82133007,ES
BKA,UUBB,Bykovo Airport,55.61719894,38.06000137,RU
BLE,ESSD,Borlange Airport,60.42200089,15.51519966,SE
BLK,EGNH,Blackpool International Airport,53.77170181,-3.028609991,GB
BLL,EKBI,Billund Airport,55.74029922,9.151780128,DK
BLO,BIBL,Hjaltabakki Airport,65.64499664,-20.28750038,IS
BLQ,LIPE,Bologna Guglielmo Marconi Airport,44.5354,11.2887,IT
BLX,LIDB,Belluno Airport,46.166549,12.250389,IT
BLY,EIBT,Belmullet Aerodrome,54.22280121,-10.03079987,IE
BMA,ESSB,Stockholm-Bromma Airport,59.35440063,17.94169998,SE
BMK,EDWR,Borkum Airport,53.59639,6.709167,DE
BMR,EDWZ,Baltrum Airport,53.72472382,7.373332977,DE
BNJ,EDKB,Bonn-Hangelar Airport,50.76889038,7.163332939,DE
BNN,ENBN,Brønnøysund Airport,65.46109772,12.21749973,NO
BNX,LQBK,Banja Luka International Airport,44.94139862,17.29750061,BA
BOD,LFBD,Bordeaux-Mérignac Airport,44.8283,-0.715556,FR
BOH,EGHH,Bournemouth Airport,50.77999878,-1.842499971,GB
BOJ,LBBG,Burgas Airport,42.56959915,27.51519966,BG
BOO,ENBO,Bodø Airport,67.26920319,14.36530018,NO
BOR,LFSQ,Aéroparc de Belfort-Fontaine,47.655602,7.01083,FR
BOU,LFLD,Bourges Airport,47.05810165,2.370280027,FR
BQD,BIBR,Búðardalur Airport,65.07530212,-21.8003006,IS
BQG,UHNB,Bogorodskoye Airport,52.38,140.448,RU
BQH,EGKB,London Biggin Hill Airport,51.3307991,0.032499999,GB
BQT,UMBB,Brest Airport,52.108299,23.8981,BY
BRE,EDDW,Bremen Airport,53.04750061,8.786669731,DE
BRI,LIBD,Bari Karol Wojty?a Airport,41.138901,16.760599,IT
BRN,LSZB,Bern Belp Airport,46.91410065,7.497149944,CH
BRQ,LKTB,Brno-Tu?any Airport,49.15129852,16.69440079,CZ
BRR,EGPR,Barra Airport,57.0228,-7.44306,GB
BRS,EGGD,Bristol Airport,51.382702,-2.71909,GB
BRU,EBBR,Brussels Airport,50.90140152,4.48443985,BE
BRV,EDWB,Bremerhaven Airport,53.506943,8.572778,DE
BSL,LFSB,EuroAirport Basel-Mulhouse-Freiburg Airport,47.59,7.529167,FR
BTS,LZIB,M. R. Štefánik Airport,48.17020035,17.21269989,SK
BUD,LHBP,Budapest Liszt Ferenc International Airport,47.42976,19.261093,HU
BVA,LFOB,Paris Beauvais Tillé Airport,49.45439911,2.112780094,FR
BVE,LFSL,Brive-Souillac,45.039722,1.485556,FR
BVG,ENBV,Berlevåg Airport,70.871399,29.034201,NO
BVV,UHSB,Burevestnik Airport,44.919998,147.621994,RU
BWE,EDVE,Braunschweig-Wolfsburg Airport,52.319199,10.5561,DE
BWF,EGNL,Barrow Walney Island Airport,54.1286111,-3.2675,GB
BWK,LDSB,Bol Airport,43.28570175,16.67970085,HR
BWO,UWSB,Balakovo Airport,51.85829926,47.74560165,RU
BWY,EGVJ,RAF Bentwaters,52.12749863,1.434720039,GB
BXO,LSZC,Buochs Airport,46.974444,8.396944,CH
BXP,EPBP,Bia?a Podlaska Airfield,52.00078,23.1325278,PL
BXV,BIBV,Breiðdalsvík Airport,64.79000092,-14.02280045,IS
BYF,LFAQ,Albert-Bray Airport,49.9715004,2.697659969,FR
BYJ,LPBJ,Beja Airport / Airbase,38.078899,-7.9324,PT
BYR,EKLS,Læsø Airport,57.27719879,11.00010014,DK
BYT,EIBN,Bantry Aerodrome,51.66859818,-9.48416996,IE
BYU,EDQD,Bayreuth Airport,49.985001,11.64,DE
BZG,EPBY,Bydgoszcz Ignacy Jan Paderewski Airport,53.09680176,17.97769928,PL
BZK,UUBP,Bryansk Airport,53.214199,34.176399,RU
BZO,LIPB,Bolzano Airport,46.460201,11.3264,IT
BZR,LFMU,Béziers-Vias Airport,43.32350159,3.353899956,FR
BZY,LUBL,B?l?i International Airport,47.843056,27.777222,MD
BZZ,EGVN,RAF Brize Norton,51.75,-1.58362,GB
CAG,LIEE,Cagliari Elmas Airport,39.251499,9.05428,IT
CAL,EGEC,Campbeltown Airport,55.43719864,-5.686389923,GB
CAT,LPCS,Cascais Airport,38.724998,-9.35523,PT
CAX,EGNC,Carlisle Airport,54.9375,-2.809170008,GB
CBG,EGSC,Cambridge Airport,52.205002,0.175,GB
CBU,EDCD,Cottbus-Drewitz Airport,51.889442,14.531944,DE
CCF,LFMK,Carcassonne Airport,43.2159996,2.306319952,FR
CDF,LIDI,Cortina Airport,46.57300186,12.11800003,IT
CDG,LFPG,Charles de Gaulle International Airport,49.012798,2.55,FR
CDT,LECH,Castellón-Costa Azahar Airport,40.213889,0.073333,ES
CEE,ULBC,Cherepovets Airport,59.27360153,38.01580048,RU
CEG,EGNR,Hawarden Airport,53.17810059,-2.977780104,GB
CEJ,UKRR,Chernihiv Shestovitsa Airport,51.40219879,31.1583004,UA
CEK,USCC,Chelyabinsk Balandino Airport,55.305801,61.5033,RU
CEQ,LFMD,Cannes-Mandelieu Airport,43.542,6.95348,FR
CER,LFRC,Cherbourg-Maupertus Airport,49.65010071,-1.470280051,FR
CET,LFOU,Cholet Le Pontreau Airport,47.08209991,-0.87706399,FR
CFE,LFLC,Clermont-Ferrand Auvergne Airport,45.7867012,3.169169903,FR
CFN,EIDL,Donegal Airport,55.0442009,-8.340999603,IE
CFR,LFRK,Caen-Carpiquet Airport,49.1733017,-0.449999988,FR
CFU,LGKR,Ioannis Kapodistrias International Airport,39.60189819,19.9116993,GR
CGN,EDDK,Cologne Bonn Airport,50.86589813,7.142739773,DE
CHQ,LGSA,Chania International Airport,35.53170013,24.14970016,GR
CHR,LFLX,"Châteauroux-Déols ""Marcel Dassault"" Airport",46.860278,1.721111,FR
CHV,LPCH,Aerodromo de Chaves,41.722356,-7.463064,PT
CIA,LIRA,Ciampino–G. B. Pastine International Airport,41.7994,12.5949,IT
CIY,LICB,Comiso Airport,36.994601,14.607182,IT
CKC,UKKE,Cherkasy International Airport,49.41559982,31.99530029,UA
CKL,UUMU,Chkalovskiy Air Base,55.8783,38.061699,RU
CLB,EICB,Castlebar Airport,53.8484,-9.28037,IE
CLF,EGYC,RAF Coltishall,52.7547,1.35722,GB
CLJ,LRCL,Cluj-Napoca International Airport,46.785198,23.686199,RO
CLY,LFKC,Calvi-Sainte-Catherine Airport,42.5244444,8.7930556,FR
CMF,LFLB,Chambéry-Savoie Airport,45.63809967,5.88022995,FR
CMR,LFGA,Colmar-Houssen Airport,48.10990143,7.35901022,FR
CND,LRCK,Mihail Kog?lniceanu International Airport,44.36220169,28.48830032,RO
CNG,LFBG,Cognac-Châteaubernard (BA 709) Air Base,45.65829849,-0.317499995,FR
CNL,EKSN,Sindal Airport,57.503502,10.2294,DK
COL,EGEL,Coll Airport,56.60189819,-6.617780209,GB
CPH,EKCH,Copenhagen Kastrup Airport,55.61790085,12.65600014,DK
CQF,LFAC,Calais-Dunkerque Airport,50.96210098,1.954759955,FR
CQM,LERL,Ciudad Real Central Airport,38.85638889,-3.97,ES
CRA,LRCV,Craiova Airport,44.31809998,23.8885994,RO
CRL,EBCI,Brussels South Charleroi Airport,50.459202,4.45382,BE
CRV,LIBC,Crotone Airport,38.9972,17.0802,IT
CSA,EGEY,Colonsay Airstrip,56.057499,-6.24306,GB
CSB,LRCS,Caransebe? Airport,45.41999817,22.25329971,RO
CSF,LFPC,Creil Air Base,49.25350189,2.519140005,FR
CSH,ULAS,Solovki Airport,65.02999878,35.73333359,RU
CSO,EDBC,Cochstedt Airport,51.85639954,11.42029953,DE
CSY,UWKS,Cheboksary Airport,56.09030151,47.34730148,RU
CTA,LICC,Catania-Fontanarossa Airport,37.466801,15.0664,IT
CTT,LFMQ,Le Castellet Airport,43.25249863,5.785190105,FR
CUF,LIMZ,Cuneo International Airport,44.547001,7.62322,IT
CVF,LFLJ,Courchevel Airport,45.396702,6.63472,FR
CVT,EGBE,Coventry Airport,52.36970139,-1.479719996,GB
CVU,LPCR,Corvo Airport,39.671501,-31.1136,PT
CWC,UKLN,Chernivtsi International Airport,48.25930023,25.98080063,UA
CWL,EGFF,Cardiff International Airport,51.39670181,-3.343329906,GB
CZW,EPCH,Cz?stochowa-Rudniki,50.884998,19.2047,PL
DBV,LDDU,Dubrovnik Airport,42.56140137,18.26819992,HR
DCI,LIED,Decimomannu Air Base,39.354198,8.97248,IT
DCM,LFCK,Castres-Mazamet Airport,43.55630112,2.28918004,FR
DEB,LHDC,Debrecen International Airport,47.48889923,21.61529922,HU
DEE,UHSM,Yuzhno-Kurilsk Mendeleyevo Airport,43.958401,145.682999,RU
DGP,EVDA,Daugavpils Intrenational Airport,55.94472122,26.66500092,LV
DHG,DHG,Dalnegorsk Airport,44.558748,135.490005,RU
DHR,EHKD,De Kooy Airport,52.92340088,4.780620098,NL
DIJ,LFSD,Dijon-Bourgogne Airport,47.268902,5.09,FR
DJU,BIDV,Djúpivogur Airport,64.64420319,-14.28279972,IS
DLD,ENDI,Geilo Airport Dagali,60.41730118,8.518349648,NO
DLE,LFGJ,Dole-Tavaux Airport,47.042686,5.435063,FR
DLR,DLR,Dalnerechensk Airport,45.8783,133.7363,RU
DLR,RU-0493,Dalnerechensk Airport,45.8783,133.7363,RU
DME,UUDD,Domodedovo International Airport,55.40879822,37.90629959,RU
DND,EGPN,Dundee Airport,56.45249939,-3.02583003,GB
DNK,UKDD,Dnipropetrovsk International Airport,48.35720062,35.1006012,UA
DNR,LFRD,Dinard-Pleurtuit-Saint-Malo Airport,48.58769989,-2.079960108,FR
DOC,GB-DOC,Dornoch Airfield,57.868999,-4.023,GB
DOK,UKCC,Donetsk International Airport,48.073601,37.7397,UA
DOL,LFRG,Deauville-Saint-Gatien Airport,49.36529922,0.154305995,FR
DPE,LFAB,St Aubin Airport,49.88249969,1.085279942,FR
DPT,DPT,Deputatskiy Airport,69.392503,139.890012,RU
DRS,EDDC,Dresden Airport,51.13280106,13.76720047,DE
DSA,EGCN,Robin Hood Doncaster Sheffield Airport,53.48053781,-1.010656357,GB
DTM,EDLW,Dortmund Airport,51.5182991,7.612239838,DE
DUB,EIDW,Dublin Airport,53.421299,-6.27007,IE
DUS,EDDL,Düsseldorf Airport,51.289501,6.76678,DE
DYR,UHMA,Ugolny Airport,64.734902,177.740997,RU
EAS,LESO,San Sebastian Airport,43.35649872,-1.790609956,ES
EBA,LIRJ,Marina Di Campo Airport,42.7603,10.2394,IT
EBJ,EKEB,Esbjerg Airport,55.525902,8.5534,DK
EBU,LFMH,Saint-Étienne-Bouthéon Airport,45.54059982,4.296390057,FR
ECV,LECU,Cuatro Vientos Airport,40.370701,-3.78514,ES
EDI,EGPH,Edinburgh Airport,55.95000076,-3.372499943,GB
EDM,LFRI,La Roche-sur-Yon Airport,46.70190048,-1.378630042,FR
EDN,UHWE,Yedinka Airport,47.178201,138.657357,RU
EFL,LGKF,Kefallinia Airport,38.12009811,20.50049973,GR
EGC,LFBE,Bergerac-Roumanière Airport,44.82529831,0.518611014,FR
EGO,UUOB,Belgorod International Airport,50.64379883,36.59009933,RU
EGS,BIEG,Egilsstaðir Airport,65.28330231,-14.40139961,IS
EIB,EDGE,Eisenach-Kindel Airport,50.991604,10.47973,DE
EIK,URKE,Yeysk Airport,46.68,38.21,RU
EIN,EHEH,Eindhoven Airport,51.45009995,5.374529839,NL
EKS,UHSK,Shakhtyorsk Airport,49.1903,142.082993,RU
EKT,ESSU,Eskilstuna Airport,59.35110092,16.70840073,SE
EMA,EGNX,East Midlands Airport,52.83110046,-1.328060031,GB
EME,EDWE,Emden Airport,53.391109,7.2275,DE
EML,LSME,Emmen Air Base,47.092444,8.305184,CH
ENC,LFSN,Nancy-Essey Airport,48.69210052,6.230460167,FR
ENF,EFET,Enontekio Airport,68.36260223,23.42429924,FI
ENK,EGAB,St Angelo Airport,54.39889908,-7.651669979,GB
ENS,EHTW,Twente Airport,52.275833,6.889167,NL
EOI,EGED,Eday Airport,59.19060135,-2.772219896,GB
EPL,LFSG,Épinal-Mirecourt Airport,48.325001,6.06998,FR
EPU,EEPU,Pärnu Airport,58.41899872,24.4727993,EE
ERD,UKDB,Berdyansk Airport,46.814999,36.758099,UA
ERF,EDDE,Erfurt Airport,50.97980118,10.95810032,DE
ESH,EGKA,Shoreham Airport,50.835602,-0.297222,GB
ESL,URWI,Elista Airport,46.37390137,44.33089828,RU
ESS,EDLE,Essen Mulheim Airport,51.40230179,6.937329769,DE
ETL,UHTQ,Svetlaya Airport,46.541704,138.321703,RU
ETZ,LFJL,Metz-Nancy-Lorraine Airport,48.98210144,6.251319885,FR
EUM,EDHN,Neumünster Airport,54.07944489,9.941389084,DE
EVE,ENEV,"Harstad/Narvik Airport, Evenes",68.49130249,16.67810059,NO
EVG,ESND,Sveg Airport,62.04779816,14.4229002,SE
EVX,LFOE,Évreux-Fauville (BA 105) Air Base,49.02870178,1.219859958,FR
EWY,EWY,RAF Greenham Common,51.379,-1.281,GB
EXT,EGTE,Exeter International Airport,50.7344017,-3.413889885,GB
EYK,USHY,Beloyarskiy Airport,63.686901,66.698601,RU
FAB,EGLF,Farnborough Airport,51.2757988,-0.776332974,GB
FAE,EKVG,Vágar Airport,62.063599,-7.27722,FO
FAG,BIFM,Fagurhólsmýri Airport,63.87469864,-16.64109993,IS
FAN,ENLI,Lista Airport,58.09949875,6.626049995,NO
FAO,LPFR,Faro Airport,37.01440048,-7.965909958,PT
FAS,BIFF,Fáskrúðsfjörður Airport,64.93170166,-14.06060028,IS
FBU,ENFB,"Oslo, Fornebu Airport",59.89580154,10.6171999,NO
FCN,ETMN,Nordholz Naval Airbase,53.7677002,8.658499718,DE
FCO,LIRF,Leonardo da Vinci–Fiumicino Airport,41.8002778,12.2388889,IT
FDE,ENBL,Førde Airport,61.39110184,5.756939888,NO
FDH,EDNY,Friedrichshafen Airport,47.67129898,9.511489868,DE
FEA,FEA,Fetlar Airport,60.60333333,-0.872777778,GB
FEL,ETSF,Fürstenfeldbruck Air Base,48.205555,11.266944,DE
FFD,EGVA,RAF Fairford,51.68220139,-1.790030003,GB
FIE,EGEF,Fair Isle Airport,59.53580093,-1.628059983,GB
FKB,EDSB,Karlsruhe Baden-Baden Airport,48.77939987,8.080499649,DE
FLF,EDXF,Flensburg-Schäferhaus Airport,54.7733345,9.378889084,DE
FLH,GB-FLH,Flotta Isle Airport,58.82580185,-3.142780066,GB
FLI,BIHT,Holt Airport,66.01418043,-23.4416914,IS
FLR,LIRQ,Peretola Airport,43.810001,11.2051,IT
FLW,LPFL,Flores Airport,39.45529938,-31.13139915,PT
FMM,EDJA,Memmingen Allgau Airport,47.98880005,10.23950005,DE
FMO,EDDG,Münster Osnabrück Airport,52.13460159,7.684830189,DE
FNB,EDBN,Neubrandenburg Airport,53.6022,13.306,DE
FNC,LPMA,Madeira Airport,32.697899,-16.7745,PT
FNI,LFTW,Nîmes-Arles-Camargue Airport,43.75740051,4.416349888,FR
FNU,LIER,Oristano-Fenosu Airport,39.895308,8.642661,IT
FOA,GB-FOA,Foula Airfield,60.121725,-2.053202,GB
FOG,LIBF,"Foggia ""Gino Lisa"" Airport",41.432899,15.535,IT
FRA,EDDF,Frankfurt am Main Airport,50.033333,8.570556,DE
FRJ,LFTU,Fréjus Airport,43.4175,6.7357,FR
FRL,LIPK,Forlì Airport,44.194801,12.0701,IT
FRO,ENFL,Florø Airport,61.58359909,5.024720192,NO
FRZ,ETHF,Fritzlar Army Airfield,51.1146,9.286,DE
FSC,LFKF,Figari Sud-Corse Airport,41.500599,9.09778,FR
FSS,EGQK,RAF Kinloss,57.6493988,-3.560640097,GB
FUE,GCFV,Fuerteventura Airport,28.45269966,-13.86380005,ES
FZO,EGTG,Bristol Filton Airport,51.51940155,-2.590830088,GB
GAT,LFNA,Gap - Tallard Airfield,44.455002,6.03778,FR
GBA,EGBP,Cotswold Airport,51.668095,-2.05694,GB
GCI,EGJB,Guernsey Airport,49.43500137,-2.601969957,GG
GDG,UHBI,Magdagachi Airport,53.473301,125.794998,RU
GDN,EPGD,Gda?sk Lech Wa??sa Airport,54.37760162,18.46619987,PL
GDZ,URKG,Gelendzhik Airport,44.58209263,38.01248074,RU
GEV,ESNG,Gällivare Airport,67.13240051,20.81459999,SE
GFR,LFRF,Granville Airport,48.8830986,-1.564170003,FR
GHF,EDQG,Giebelstadt Airport,49.64805603,9.966388702,DE
GIB,LXGB,Gibraltar Airport,36.15119934,-5.34965992,GI
GJR,BIGJ,Gjögur Airport,65.99530029,-21.32690048,IS
GKE,ETNG,Geilenkirchen Air Base,50.9608,6.04242,DE
GLA,EGPF,Glasgow International Airport,55.871899,-4.43306,GB
GLL,ENKL,Gol Airport,60.791066,9.048672,NO
GLO,EGBJ,Gloucestershire Airport,51.89419937,-2.167220116,GB
GLZ,EHGR,Gilze Rijen Air Base,51.56740189,4.931829929,NL
GME,UMGG,Gomel Airport,52.52700043,31.01670074,BY
GML,UKKM,Gostomel Airport,50.60350037,30.19190025,UA
GMZ,GCGM,La Gomera Airport,28.02960014,-17.21459961,ES
GNA,UMMG,Hrodna Airport,53.60200119,24.05380058,BY
GNB,LFLS,Grenoble-Isère Airport,45.3629,5.32937,FR
GNE,GNE,Sint-Denijs-Westrem Airport,51.025956,3.688231,BE
GOA,LIMJ,Genoa Cristoforo Colombo Airport,44.4133,8.8375,IT
GOJ,UWGG,Nizhny Novgorod Strigino International Airport,56.23009872,43.7840004,RU
GOT,ESGG,Gothenburg-Landvetter Airport,57.66279984,12.27980042,SE
GOZ,LBGO,Gorna Oryahovitsa Airport,43.15140152,25.71290016,BG
GPA,LGRX,Araxos Airport,38.1511,21.4256,GR
GRO,LEGE,Girona Airport,41.90100098,2.760550022,ES
GRQ,EHGG,Eelde Airport,53.11970139,6.579440117,NL
GRS,LIRS,Grosseto Air Base,42.759701,11.0719,IT
GRV,RU-0035,Grozny North Airport,43.388302,45.698601,RU
GRW,LPGR,Graciosa Airport,39.09220123,-28.02980042,PT
GRX,LEGR,Federico Garcia Lorca Airport,37.18870163,-3.777359962,ES
GRY,BIGR,Grímsey Airport,66.5458,-18.0173,IS
GRZ,LOWG,Graz Airport,46.99110031,15.43959999,AT
GSE,ESGP,Gothenburg City Airport,57.7747,11.8704,SE
GSY,EGXB,Binbrook Airfield,53.44670105,-0.209999993,GB
GTI,EDCG,Flugplatz Güttin / Rügen,54.383331,13.325556,DE
GTW,LKHO,Holešov Airport,49.3143997,17.5688992,CZ
GUT,ETUO,Gütersloh Air Base,51.922798,8.30633,DE
GUU,BIGF,Grundarfjörður Airport,64.99140167,-23.22470093,IS
GVA,LSGG,Geneva Cointrin International Airport,46.23809814,6.108950138,CH
GVX,ESSK,Gävle Sandviken Airport,60.59329987,16.95140076,SE
GWT,EDXW,Westerland Sylt Airport,54.91320038,8.340470314,DE
GWW,GWW,Gatow Airport,52.47439957,13.13809967,DE
GWY,EICM,Galway Airport,53.30020142,-8.941590309,IE
GYG,UEMM,Magan Airport,62.103484,129.545288,RU
GZM,LMMG,Xewkija Heliport,36.027199,14.2728,MT
HAA,ENHK,Hasvik Airport,70.48670197,22.13969994,NO
HAD,ESMT,Halmstad Airport,56.69110107,12.82019997,SE
HAJ,EDDV,Hannover Airport,52.46110153,9.685079575,DE
HAM,EDDH,Hamburg Airport,53.63040161,9.988229752,DE
HAU,ENHD,Haugesund Airport,59.34529877,5.208360195,NO
HAW,EGFE,Haverfordwest Airport,51.83309937,-4.961110115,GB
HDB,DE-0419,Heidelberg Army Helicopter Base,49.392397,8.651935,DE
HDF,EDAH,Heringsdorf Airport,53.87870026,14.15229988,DE
HEI,EDXB,Heide-Büsum Airport,54.15333176,8.901666641,DE
HEL,EFHK,Helsinki Vantaa Airport,60.3172,24.963301,FI
HEM,EFHF,Helsinki Malmi Airport,60.254601,25.042801,FI
HER,LGIR,Heraklion International Nikos Kazantzakis Airport,35.33969879,25.18029976,GR
HEW,LGAT,Athen Helenikon Airport,37.893299,23.726101,GR
HFN,BIHN,Hornafjörður Airport,64.295601,-15.2272,IS
HFS,ESOH,Hagfors Airport,60.02009964,13.57890034,SE
HFT,ENHF,Hammerfest Airport,70.67970276,23.66860008,NO
HGL,EDXH,Helgoland-Düne Airport,54.18527985,7.915832996,DE
HHN,EDFH,Frankfurt-Hahn Airport,49.9487,7.26389,DE
HKV,BG-HKV,Malevo Airport,41.87179947,25.60479927,BG
HLF,ESSF,Hultsfred Airport,57.525799,15.8233,SE
HLO,BIID,Ingjaldssanður Airport,66.05000305,-23.69610023,IS
HMJ,UKLH,Khmelnytskyi Airport,49.359699,26.933399,UA
HMR,ENHA,Stafsberg Airport,60.81809998,11.06799984,NO
HMV,ESUT,Hemavan Airport,65.806099,15.0828,SE
HOH,LOIH,Hohenems-Dornbirn Airfield,47.384998,9.7,AT
HOQ,EDQM,Hof-Plauen Airport,50.28861237,11.85638905,DE
HOR,LPHR,Horta Airport,38.51990128,-28.71590042,PT
HOV,ENOV,"Ørsta-Volda Airport, Hovden",62.18000031,6.074100018,NO
HOY,GB-0070,Hoy/Longhope Airfield,58.791779,-3.216076,GB
HRK,UKHH,Kharkiv International Airport,49.92480087,36.29000092,UA
HRT,EGXU,RAF Linton-On-Ouse,54.0489006,-1.252750039,GB
HSK,LEHC,Huesca/Pirineos Airport,42.076099,-0.316667,ES
HTA,UIAA,Chita-Kadala Airport,52.026299,113.306,RU
HUV,ESNH,Hudiksvall Airport,61.76810074,17.08069992,SE
HUY,EGNJ,Humberside Airport,53.57440186,-0.350832999,GB
